,종목코드,종목명,종류
0,종목코드,종목명,종류
1,060310,3S,KOSDAQ
2,095570,AJ네트웍스,KOSPI
3,068400,AJ렌터카,KOSPI
4,006840,AK홀딩스,KOSPI
5,054620,APS홀딩스,KOSDAQ
6,211270,AP위성,KOSDAQ
7,152100,ARIRANG 200,ETF
8,222170,ARIRANG S&P한국배당성장,ETF
9,161490,ARIRANG 경기방어주,ETF
10,161500,ARIRANG 경기주도주,ETF
11,161510,ARIRANG 고배당주,ETF
12,189400,ARIRANG 글로벌MSCI(합성 H),ETF
13,190160,ARIRANG 단기유동성,ETF
14,213630,ARIRANG 미국다우존스고배당주(합성 H),KOSPI
15,190150,ARIRANG 바벨 채권,ETF
16,195970,ARIRANG 선진국MSCI(합성 H),ETF
17,236460,ARIRANG 스마트베타 LowVOL,KOSPI
18,222190,ARIRANG 스마트베타 Momentum,ETF
19,222200,ARIRANG 스마트베타 Quality,ETF
20,222180,ARIRANG 스마트베타 Value,ETF
21,238670,ARIRANG 스마트베타Quality채권혼합,KOSPI
22,195980,ARIRANG 신흥국MSCI(합성 H),ETF
23,239660,ARIRANG 우량회사채50 1년,KOSPI
24,204420,ARIRANG 차이나H 레버리지(합성 H),KOSPI
25,227830,ARIRANG 코스피,KOSPI
26,141240,ARIRANG 코스피100동일가중,ETF
27,122090,ARIRANG 코스피50,ETF
28,027410,BGF리테일,KOSPI
29,138930,BNK금융지주,KOSPI
30,001460,BYC,KOSPI
31,001465,BYC우,KOSPI
32,032040,C&S자산관리,KOSDAQ
33,001040,CJ,KOSPI
34,079160,CJ CGV,KOSPI
35,130960,CJ E&M,KOSDAQ
36,000120,CJ대한통운,KOSPI
37,011150,CJ씨푸드,KOSPI
38,011155,CJ씨푸드1우,KOSPI
39,035760,CJ오쇼핑,KOSDAQ
40,001045,CJ우,KOSPI
41,097950,CJ제일제당,KOSPI
42,097955,CJ제일제당 우,KOSPI
43,051500,CJ프레시웨이,KOSDAQ
44,037560,CJ헬로비전,KOSPI
45,058820,CMG제약,KOSDAQ
46,023460,CNH,KOSDAQ
47,083660,CSA 코스믹,KOSDAQ
48,000590,CS홀딩스,KOSPI
49,DAX,DAX,INDEX
50,139130,DGB금융지주,KOSPI
51,068790,DMS,KOSDAQ
52,004840,DRB동일,KOSPI
53,241520,DSC인베스트먼트,KOSDAQ
54,155660,DSR,KOSPI
55,069730,DSR제강,KOSPI
56,009730,DS제강,KOSDAQ
57,017940,E1,KOSPI
58,037370,EG,KOSDAQ
59,079190,EMW,KOSDAQ
60,007700,F&F,KOSPI
61,FTSE,FTSE,INDEX
62,130500,GH신소재,KOSDAQ
63,114090,GKL,KOSPI
64,900290,GRT,KOSDAQ
65,078930,GS,KOSPI
66,083450,GST,KOSDAQ
67,006360,GS건설,KOSPI
68,001250,GS글로벌,KOSPI
69,007070,GS리테일,KOSPI
70,078935,GS우,KOSPI
71,028150,GS홈쇼핑,KOSDAQ
72,041590,GemTech,KOSDAQ
73,032800,G러닝,KOSDAQ
74,078150,HB테크놀러지,KOSDAQ
75,001500,HMC투자증권,KOSPI
76,036640,HRS,KOSDAQ
77,225430,IBKS제3호스팩,KOSDAQ
78,003560,IHQ,KOSPI
79,095340,ISC,KOSDAQ
80,099520,ITX엠투엠,KOSDAQ
