,시도명,시군구명,2015,2016,2017
0,서울특별시,강남구,49,56,70
1,서울특별시,강동구,8,8,10
2,서울특별시,강북구,5,4,5
3,서울특별시,강서구,7,6,14
4,서울특별시,관악구,6,6,9
5,서울특별시,광진구,11,13,14
6,서울특별시,구로구,7,8,10
7,서울특별시,금천구,6,6,9
8,서울특별시,노원구,6,7,7
9,서울특별시,도봉구,1,1,1
10,서울특별시,동대문구,6,6,8
11,서울특별시,동작구,3,3,5
12,서울특별시,마포구,18,17,26
13,서울특별시,서대문구,16,14,16
14,서울특별시,서초구,30,34,41
15,서울특별시,성동구,3,3,5
16,서울특별시,성북구,10,12,14
17,서울특별시,송파구,16,16,24
18,서울특별시,양천구,8,6,8
19,서울특별시,영등포구,17,18,26
20,서울특별시,용산구,8,10,14
21,서울특별시,은평구,5,7,9
22,서울특별시,종로구,26,25,27
23,서울특별시,중구,33,28,42
24,서울특별시,중랑구,5,5,6
