,»óÈ£¸í,°æµµ,À§µµ
2454,½ºÅ¸¹÷½ºÁ¾·Î3°¡Á¡,126.99020724045499,37.570585018689606
13246,½ºÅ¸¹÷½º,129.070976956783,35.173285800223304
17837,½ºÅ¸¹÷½º¹ð¹ð»ç°Å¸®,127.032473020123,37.4885559134485
18523,½ºÅ¸¹÷½ºÄ¿ÇÇ¿©ÀÇµµIFC1F,126.924863083917,37.5251722235016
18527,½ºÅ¸¹÷½º,127.063878213052,37.5100378471739
19618,½ºÅ¸¹÷½º,126.930215862294,37.4838447505118
19930,½ºÅ¸¹÷½º½Å¸²»ç°Å¸®Á¡,126.930487328505,37.484631121894395
34106,½ºÅ¸¹÷½ºÄ¿ÇÇÈ«´ë¿ª,126.923599454067,37.5572017356505
46792,½ºÅ¸¹÷½º,127.02063474001801,37.5161838031466
49633,½ºÅ¸¹÷½º»õ¹®¾È·ÎÁ¡,126.974868861844,37.5697229770514
50705,½ºÅ¸¹÷½º,129.103526640392,35.1399848089797
50844,½ºÅ¸¹÷½º¿Ã¸²ÇÈÆòÈ­ÀÇ¹®Á¡,127.11631677592301,37.5157850739286
50878,½ºÅ¸¹÷½º,126.846035970796,37.532285335238704
51105,½ºÅ¸¹÷½º,126.89647871302,37.517449781640394
51107,½ºÅ¸¹÷½º,126.937543279963,37.552426380667
51719,½ºÅ¸¹÷½º,126.982159843769,37.5696599190406
52050,½ºÅ¸¹÷½º¿¬½Å³»¿ª,126.92010980759501,37.617800446052705
52186,½ºÅ¸¹÷½º,127.057100286394,37.5129393969289
54083,½ºÅ¸¹÷½º°¡¶ô½ÃÀå¿ªÁ¡,127.121533304074,37.4944057821458
54086,½ºÅ¸¹÷½º,127.061378960488,37.5957258221365
55285,½ºÅ¸¹÷½º¿¬¼¼¹é¾ç·ÎÁ¡,126.94291681751601,37.5638006863037
56390,½ºÅ¸¹÷½º,129.13297998235,35.1669618879898
57519,½ºÅ¸¹÷½º,126.92021918816499,37.527905068142
57820,½ºÅ¸¹÷½º,126.92335679189101,37.491423339167795
59084,½ºÅ¸¹÷½º,127.055213389641,37.496615204091
59274,½ºÅ¸¹÷½º,127.02682889654498,37.4982589797032
59475,½ºÅ¸¹÷½º¸íÁö´ëÁ¡,126.92232239793002,37.578283364060795
59906,½ºÅ¸¹÷½º,127.040441763055,37.6018196933437
60168,½ºÅ¸¹÷½º¼®ÃÌ¿ª,127.10601340660801,37.5042460725183
60313,½ºÅ¸¹÷½º,129.16660481764401,35.1602158913492
60503,½ºÅ¸¹÷½º,126.969202890528,37.5635826036441
60531,½ºÅ¸¹÷½º,126.93927795426599,37.5561993158556
60974,½ºÅ¸¹÷½º¿¬´ëµ¿¹®,126.946321109963,37.5664080915476
61918,½ºÅ¸¹÷½º,129.093067550223,35.1349506851431
62007,½ºÅ¸¹÷½º,126.95030147676901,37.5642810556138
62158,½ºÅ¸¹÷½º,127.021572760891,37.4859161526789
62232,½ºÅ¸¹÷½º¾Ð±¸Á¤·Îµ¥¿À¿ª,127.040513119755,37.5265378643378
62274,½ºÅ¸¹÷½º,127.05143962260401,37.518687851269
62856,½ºÅ¸¹÷½º,127.00563260758001,37.533412670302795
